"id","code","name"
activity_11101,11101,CULTIVO Y VENTA DE CEREALES
activity_11102,11102,CULTIVO DE PALMA AFRICANA Y OTROS FRUTOS OLEAGINOSOS
activity_11103,11103,CULTIVO Y COMERCIALIZACIÓN DE CESPED
activity_11218,11218,PRODUCCIÓN DE MINIVEGETALES
activity_11231,11231,CULTIVO HORTALIZAS LEGUMBRES ESPECIALIDADES HORTÍCOLAS PRODUCTOS VIVERO GRAVADOS IVA
activity_11301,11301,CULTIVO DE ESPECIAS DE TODO TIPO
activity_11302,11302,CULTIVO DE FRUTAS
activity_11322,11322,CULTIVO DE SEMILLAS COMESTIBLES Y GERMINACION DE SEMILLAS OLEAGINOSAS
activity_11329,11329,CULTIVO DE PLANTAS PARA PREPARAR BEBIDAS Y MEDICINAS
activity_11349,11349,CULTIVO DE CACAO
activity_11401,11401,CULTIVO DE CAFE
activity_11701,11701,CULTIVO DE  CAñA DE AZÚCAR
activity_11802,11802,"CULTIVO Y VENTA DE CEREALES, LEGUMBRES Y GRANOS BÁSICOS INCLUIDOS  EN CANASTA BÁSICA"
activity_11901,11901,CULTIVO DE FLORES DE TODO TIPO
activity_11903,11903,VIVEROS
activity_11907,11907,PEQUEÑOS PRODUCTORES AGRICOLAS (FERIAS DEL AGRICULTOR)
activity_12101,12101,CRíA DE CABALLOS Y OTROS EQUINOS
activity_12102,12102,"PRODUCCION DE SEMEN BOVINO, VENTA DE SEMEN CONGELADO Y DILUYENTE PARA SEMEN"
activity_12103,12103,"CRÍA DE ANIMALES DOMÉSTICOS,COMO: GANADO VACUNO, OVEJAS Y CABRAS"
activity_12201,12201,CRIA DE CERDOS
activity_12202,12202,CRIA DE ANIMALES DOMESTICADOS (AVES DE CORRAL)
activity_12203,12203,CRíA DE MARIPOSAS
activity_12204,12204,CRIA Y VENTA DE OTROS ANIMALES SEMIDOMESTICADOS O SALVAJES
activity_12401,12401,"PRODUCCION Y VENTA DE HUEVOS DE CUALQUIER TIPO, EXCEPTO  LOS DE GALLINA"
activity_12402,12402,CRÍA DE ANIMALES Y OBTENCIÓN DE PRODUCTOS DE ANIMALES VIVOS
activity_12403,12403,PRODUCCION DE HUEVOS DE GALLINA INCLUIDOS EN LA CANASTA BASICA
activity_13001,13001,CULTIVO DE PRODUCTOS AGRICOLAS EN COMBINACION CON LA CRIA DE ANIMALES
activity_14001,14001,SERVICIO DE JARDINERIA Y/O DISEÑO PAISAJISTA
activity_14002,14002,RECOLECCION DE COSECHAS Y ACTIVIDADES CONEXAS
activity_14003,14003,FUMIGACION DE CULTIVOS
activity_14004,14004,SERVICIO DE PLANTACION DE ARBOLES Y SIMILARES
activity_14005,14005,MANEJO E INSTALACION DE SISTEMAS DE RIEGO
activity_15001,15001,"CAZA ORDINARIA MEDIANTE TRAMPAS, Y REPOBLACION DE ANIMALES DE CAZA"
activity_20001,20001,VENTA DE ARBOLES EN PIE (ARBOLES DE REFORESTACION)
activity_20002,20002,EXTRACCION Y/O VENTA DE MADERA
activity_20005,20005,"ACTIVIDADES DE CONSERVACIÓN DE BOSQUES. (SERVICIOS AMBIENTALES, VENTA DE OXÍGENO)"
activity_50001,50001,PESCADORES ARTESANALES EN PEQ. ESCALA
activity_50002,50002,PESCADORES ARTESANALES MEDIOS
activity_50003,50003,"CRIADERO DE PECES, CRUSTACEOS O MOLUSCOS. COMERCIALIZACION DE LARVAS DE ESPECIES"
activity_50005,50005,PESCADORES EN GRAN ESCALA
activity_101001,101001,EXTRACCION Y AGLOMERACION DE CARBON DE PIEDRA
activity_111001,111001,EXTRACCION DE PETROLEO CRUDO Y GAS NATURAL
activity_120001,120001,EXTRACCIÓN DE MINERALES DE URANIO Y TORIO
activity_141001,141001,"EXTRACCION DE PIEDRA, ARENA Y ARCILLA"
activity_142101,142101,EXTRACCION DE MINERALES Y SUSTANCIAS PARA LA FABRICACION DEABONOS
activity_142201,142201,EXTRACCION DE SAL
activity_142901,142901,EXPLOTACION DE OTRAS MINAS Y CANTERAS N.C.P.
activity_142902,142902,VENTA DE ASFALTO/MEZCLA ASFALTICA
activity_151101,151101,"ELABORACION Y CONSERVACIÓN DE CARNE  Y EMBUTIDOS DE GANADO VACUNO, PORCINO  Y DE AVES"
activity_151102,151102,OPERACIÓN DE MATADEROS QUE REALIZAN ACTIVIDADES DE MATANZA DE ANIMALES
activity_151103,151103,PRODUCCION DE CUEROS Y PIELES SIN CURTIR
activity_151105,151105,"PRODUCCION Y VENTA DE EMBUTIDOS EMPACADOS, ENVASADO Y ENLATADO"
activity_151201,151201,"ELABORACIóN Y CONSERVACIóN DE PESCADO, CRUSTÁCEOS Y MOLUSCOS"
activity_151301,151301,"ELABORACION Y CONSERVACION DE FRUTAS, LEGUMBRES Y HORTALIZAS"
activity_151304,151304,PRODUCCIóN DE CONCENTRADOS PARA JUGOS (CITRICULTURA)
activity_151401,151401,ELABORACION Y VENTA DE ACEITES  Y GRASAS DE ORIGEN VEGETAL Y ANIMAL
activity_152001,152001,PRODUCCIóN DE HELADOS Y OTROS PRODUCTOS SIMILARES
activity_152002,152002,ELABORACIÓN Y VENTA DE PRODUCTOS LÁCTEOS NO INCLUIDOS EN CANASTA BÁSICA
activity_152003,152003,ELABORACIÓN DE PRODUCTOS DE MOLINERÍA NO INCLUIDOS CANASTA BÁSICA
activity_153101,153101,SERVICIO DE MOLIENDA
activity_153102,153102,ELABORACIÓN DE PRODUCTOS DE MOLINERÍA NO INCLUIDOS CANASTA BÁSICA
activity_153103,153103,BENEFICIO DE ARROZ
activity_153104,153104,ELABORACIÓN DE PRODUCTOS DE MOLINERÍA INCLUIDOS EN CANASTA BÁSICA
activity_153201,153201,ELABORACION DE PRODUCTOS DERIVADOS DE ALMIDON
activity_153301,153301,ELABORACION DE ALIMENTOS PARA ANIMALES DESTINADOS AL CONSUMO HUMANO
activity_153302,153302,ELABORACION DE PACAS DE HENO
activity_154101,154101,VENTA DE PAN Y OTROS PRODUCTOS SIMILARES GRAVADOS CON IVA
activity_154102,154102,ELABORACIÓN Y VENTA DE PRODUCTOS DE PANADERIA NO INCLUIDOS EN CANASTA BÁSICA
