"id","name","l10n_cr_billing_indicator"
"tax_group_01","IVA 0% (Exento)",""
"tax_group_02","IVA 1% (Tarifa Reducida)",""
"tax_group_03","IVA 2% (Tarifa Reducida)",""
"tax_group_04","IVA 4% (Tarifa Reducida)",""
"tax_group_05","IVA 0% (Transitorio)",""
"tax_group_06","IVA 4% (Transitorio)",""
"tax_group_07","IVA 8% (Transitorio)",""
"tax_group_99","Otros",""
"tax_group_cruz_parafiscal","Contribución parafiscal","01"
"tax_group_cruz_roja","Timbre de la Cruz Roja","02"
"tax_group_service","Impuesto de servicio 10%","06"
"tax_group_other_charge","Other Charge","99"
